# Header: 
#   Title                 : 34-SE-80 Resonance Parameter: ARE 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : G0039-002-3 
#   First Author          : A.Makinaga 
#   Institute             : (2JPNJPN): Japan 
#   Reference             : (J,PR/C,94,044304,2016) 
#   Year                  : 2016 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 34 
#   A                     : 80 
#   Isomer                :  
#   Nuclide               : 34-SE-80 
# Reaction: 
#   EXFOR Reaction        : (34-SE-80(G,EL),,ARE) 
#   Incident Energy       : 6.6630e+05 eV - 9.6090e+06 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/G00/G0039.x4 
#   nds                   : https://nds.iaea.org/EXFOR/G0039
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   6.6630E+05   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4494E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6462E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   8.6000E+01   8.0000E+00          NAN          NAN          NAN          NAN
   1.8487E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.1500E+02   1.0000E+01          NAN          NAN          NAN          NAN
   1.9598E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0515E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.3000E+01   2.5000E+00          NAN          NAN          NAN          NAN
   2.2045E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.2600E+01   2.0000E+00          NAN          NAN          NAN          NAN
   2.2818E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.4400E+01   1.9000E+00          NAN          NAN          NAN          NAN
   2.3210E+06   4.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   6.3000E+00   1.6000E+00          NAN          NAN          NAN          NAN
   2.3591E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   4.4000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   2.3921E+06   4.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   8.8000E+00   2.2000E+00          NAN          NAN          NAN          NAN
   2.4600E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   4.4000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   2.4903E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.0200E+01   2.5000E+00          NAN          NAN          NAN          NAN
   2.5330E+06   4.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   8.7000E+00   2.6000E+00          NAN          NAN          NAN          NAN
