# Header: 
#   Title                 : 52-TE-126 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : J.L.Foster 
#   Institute             : (1USATEX): University of Texas, Austin, TX 
#   Reference             : (J,PR,175,1498,1968) 
#   Year                  : 1968 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 52 
#   A                     : 126 
#   Nuclide               : 52-TE-126 
# Reaction: 
#   entry-subent-pointer  :['C2691-009-2' 'C2691-009-3'] 
#   EXFOR reaction        :['(52-TE-126(P,EL),,WID)' '(52-TE-126(P,TOT),,WID)'] 
#   incident energy       : 7.7030e+06 eV - 1.0420e+07 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C26/C2691.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C2691
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(P,TOT)      (P,G)     d(P,G)      (P,EL)   d(P,EL)       (P,F)     d(P,F)
 7.7030E+06        NAN        1.5        2.0 7.7000E+04        NAN        NAN        NAN 5.6500E+03        NAN        NAN        NAN
 7.7760E+06        NAN        0.5        0.0 6.0000E+04        NAN        NAN        NAN 1.3680E+04        NAN        NAN        NAN
 8.4830E+06        NAN        2.5        2.0 6.0000E+04        NAN        NAN        NAN 1.6000E+03        NAN        NAN        NAN
 9.1000E+06        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.2600E+06        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.5400E+06        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.6250E+06        NAN        3.5        3.0 2.5600E+04        NAN        NAN        NAN 6.5000E+02        NAN        NAN        NAN
 9.6920E+06        NAN        1.5        1.0 4.4700E+04        NAN        NAN        NAN 1.6000E+03        NAN        NAN        NAN
 9.7260E+06        NAN        3.5        3.0 5.5400E+04        NAN        NAN        NAN 4.5500E+03        NAN        NAN        NAN
 9.8090E+06        NAN        3.5        3.0 6.4000E+04        NAN        NAN        NAN 4.2400E+03        NAN        NAN        NAN
 9.8820E+06        NAN        1.5        1.0 6.7300E+04        NAN        NAN        NAN 5.4800E+03        NAN        NAN        NAN
 1.0000E+07        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0139E+07        NAN        0.5        1.0 8.0000E+04        NAN        NAN        NAN 5.2000E+03        NAN        NAN        NAN
 1.0300E+07        NAN        NAN        1.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0420E+07        NAN        NAN        3.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
