# Header: 
#   Title                 : 8-O-18 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C1916-002-2 
#   First Author          : M.Wiescher 
#   Institute             : (2GERMST): Westfaelische Wilhelms-Universitaet Muenster,Muenster 
#   Reference             : (J,NP/A,349,(1-2),165,1980) 
#   Year                  : 1980 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 18 
#   Isomer                :  
#   Nuclide               : 8-O-18 
# Reaction: 
#   EXFOR Reaction        : (8-O-18(P,G),,WID/STR) 
#   Incident Energy Type   : 9.5000e+04 eV - 1.9960e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C19/C1916.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C1916
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   9.5000E+04          NAN        NAN        NAN          NAN          NAN   5.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5100E+05          NAN        NAN        NAN          NAN          NAN   1.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1600E+05          NAN        NAN        NAN          NAN          NAN   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.7400E+05          NAN        NAN        NAN          NAN          NAN   3.7000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3400E+05          NAN        NAN        NAN          NAN          NAN   9.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.2200E+05          NAN        NAN        NAN          NAN          NAN   1.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.2900E+05          NAN        NAN        NAN          NAN          NAN   1.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.8000E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.4100E+05          NAN        NAN        NAN          NAN          NAN   1.4000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.7700E+05          NAN        NAN        NAN          NAN          NAN   1.5000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1690E+06          NAN        NAN        NAN          NAN          NAN   3.1000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3980E+06          NAN        NAN        NAN          NAN          NAN   8.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6300E+06          NAN        NAN        NAN          NAN          NAN   2.5000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6600E+06          NAN        NAN        NAN          NAN          NAN   4.1000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6700E+06          NAN        NAN        NAN          NAN          NAN   6.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6820E+06          NAN        NAN        NAN          NAN          NAN   2.5000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7670E+06          NAN        NAN        NAN          NAN          NAN   1.2000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9250E+06          NAN        NAN        NAN          NAN          NAN   2.8000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9860E+06          NAN        NAN        NAN          NAN          NAN   1.3000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9960E+06          NAN        NAN        NAN          NAN          NAN   1.4000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
