# Header: 
#   Title                 : 26-FE-56 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : F.Bauwens 
#   Institute             : (2BLGGHT): Universiteit Gent, Gent 
#   Reference             : (J,PR/C,62,024302,2000) 
#   Year                  : 2000 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 26 
#   A                     : 56 
#   Nuclide               : 26-FE-56 
# Reaction: 
#   entry-subent-pointer  :{0: 'G0036-002-5', 1: 'G0036-002-5', 2: 'G0036-002-5', 3: 'G0036-002-5', 4: 'G0036-002-5', 5: 'G0036-002-5', 6: 'G0036-002-5', 7: 'G0036-002-5', 8: 'G0036-002-5', 9: 'G0036-002-5', 10: 'G0036-002-5', 11: 'G0036-002-5', 12: 'G0036-002-5', 13: 'G0036-002-5', 14: 'G0036-002-5', 15: 'G0036-002-5', 16: 'G0036-002-5', 17: 'G0036-002-5', 18: 'G0036-002-5', 19: 'G0036-002-5', 20: 'G0036-002-5', 21: 'G0036-002-5', 22: 'G0036-002-5', 23: 'G0036-002-5', 24: 'G0036-002-5', 25: 'G0036-002-5', 26: 'G0036-002-5', 27: 'G0036-002-5', 28: 'G0036-002-5', 29: 'G0036-002-5', 30: 'G0036-002-5', 31: 'G0036-002-5', 32: 'G0036-002-5', 33: 'G0036-002-5', 34: 'G0036-002-5', 35: 'G0036-002-5', 36: 'G0036-002-5', 37: 'G0036-002-5', 38: 'G0036-002-5', 39: 'G0036-002-5', 40: 'G0036-002-5', 41: 'G0036-002-5', 42: 'G0036-002-5', 43: 'G0036-002-5', 44: 'G0036-002-5', 45: 'G0036-002-5', 46: 'G0036-002-5', 47: 'G0036-002-5', 48: 'G0036-002-5', 49: 'G0036-002-5', 50: 'G0036-002-5', 51: 'G0036-002-5', 52: 'G0036-002-5', 53: 'G0036-002-5', 54: 'G0036-002-5', 55: 'G0036-002-5', 56: 'G0036-002-5', 57: 'G0036-002-5', 58: 'G0036-002-5', 59: 'G0036-002-5', 60: 'G0036-002-5', 61: 'G0036-002-5', 62: 'G0036-002-5', 63: 'G0036-002-5', 64: 'G0036-002-5', 65: 'G0036-002-5'} 
#   EXFOR reaction        :{0: '(26-FE-56(G,EL),,WID)', 1: '(26-FE-56(G,EL),,WID)', 2: '(26-FE-56(G,EL),,WID)', 3: '(26-FE-56(G,EL),,WID)', 4: '(26-FE-56(G,EL),,WID)', 5: '(26-FE-56(G,EL),,WID)', 6: '(26-FE-56(G,EL),,WID)', 7: '(26-FE-56(G,EL),,WID)', 8: '(26-FE-56(G,EL),,WID)', 9: '(26-FE-56(G,EL),,WID)', 10: '(26-FE-56(G,EL),,WID)', 11: '(26-FE-56(G,EL),,WID)', 12: '(26-FE-56(G,EL),,WID)', 13: '(26-FE-56(G,EL),,WID)', 14: '(26-FE-56(G,EL),,WID)', 15: '(26-FE-56(G,EL),,WID)', 16: '(26-FE-56(G,EL),,WID)', 17: '(26-FE-56(G,EL),,WID)', 18: '(26-FE-56(G,EL),,WID)', 19: '(26-FE-56(G,EL),,WID)', 20: '(26-FE-56(G,EL),,WID)', 21: '(26-FE-56(G,EL),,WID)', 22: '(26-FE-56(G,EL),,WID)', 23: '(26-FE-56(G,EL),,WID)', 24: '(26-FE-56(G,EL),,WID)', 25: '(26-FE-56(G,EL),,WID)', 26: '(26-FE-56(G,EL),,WID)', 27: '(26-FE-56(G,EL),,WID)', 28: '(26-FE-56(G,EL),,WID)', 29: '(26-FE-56(G,EL),,WID)', 30: '(26-FE-56(G,EL),,WID)', 31: '(26-FE-56(G,EL),,WID)', 32: '(26-FE-56(G,EL),,WID)', 33: '(26-FE-56(G,EL),,WID)', 34: '(26-FE-56(G,EL),,WID)', 35: '(26-FE-56(G,EL),,WID)', 36: '(26-FE-56(G,EL),,WID)', 37: '(26-FE-56(G,EL),,WID)', 38: '(26-FE-56(G,EL),,WID)', 39: '(26-FE-56(G,EL),,WID)', 40: '(26-FE-56(G,EL),,WID)', 41: '(26-FE-56(G,EL),,WID)', 42: '(26-FE-56(G,EL),,WID)', 43: '(26-FE-56(G,EL),,WID)', 44: '(26-FE-56(G,EL),,WID)', 45: '(26-FE-56(G,EL),,WID)', 46: '(26-FE-56(G,EL),,WID)', 47: '(26-FE-56(G,EL),,WID)', 48: '(26-FE-56(G,EL),,WID)', 49: '(26-FE-56(G,EL),,WID)', 50: '(26-FE-56(G,EL),,WID)', 51: '(26-FE-56(G,EL),,WID)', 52: '(26-FE-56(G,EL),,WID)', 53: '(26-FE-56(G,EL),,WID)', 54: '(26-FE-56(G,EL),,WID)', 55: '(26-FE-56(G,EL),,WID)', 56: '(26-FE-56(G,EL),,WID)', 57: '(26-FE-56(G,EL),,WID)', 58: '(26-FE-56(G,EL),,WID)', 59: '(26-FE-56(G,EL),,WID)', 60: '(26-FE-56(G,EL),,WID)', 61: '(26-FE-56(G,EL),,WID)', 62: '(26-FE-56(G,EL),,WID)', 63: '(26-FE-56(G,EL),,WID)', 64: '(26-FE-56(G,EL),,WID)', 65: '(26-FE-56(G,EL),,WID)'} 
#   incident energy       : 2.1331e+06 eV - 9.7682e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/G00/G0036.x4 
#   nds                   : https://nds.iaea.org/EXFOR/G0036
#
#        E_in(eV)          dE_in(eV)    data(G,TOT)(eV)       ddata(G,TOT)       data(G,G)         ddata(G,G)        data(G,EL)       ddata(G,EL)        data(G,F)        ddata(G,F)         data(G,A)        ddata(G,A)            spin_j        momentum_l
        2.1331E+06        2.0000E+02               NAN               NAN               NAN               NAN        1.6000E-02        1.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN
        2.7427E+06        9.0000E+02               NAN               NAN               NAN               NAN        1.9000E-03        9.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        2.7635E+06        4.0000E+02               NAN               NAN               NAN               NAN        9.4000E-03        1.1000E-03               NAN               NAN               NAN               NAN               NAN               NAN
        2.9831E+06        4.0000E+02               NAN               NAN               NAN               NAN        4.6000E-03        1.6000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.3697E+06        5.0000E+02               NAN               NAN               NAN               NAN        4.7000E-02        6.0000E-03               NAN               NAN               NAN               NAN               2.0               NAN
        3.4486E+06        2.0000E+02               NAN               NAN               NAN               NAN        7.8000E-02        5.0000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.6055E+06        4.0000E+02               NAN               NAN               NAN               NAN        1.1000E-02        4.0000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        4.4097E+06        4.0000E+02               NAN               NAN               NAN               NAN        6.0000E-03        2.6000E-03               NAN               NAN               NAN               NAN               2.0               NAN
        4.6694E+06        5.0000E+02               NAN               NAN               NAN               NAN        1.2000E-02        5.0000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        4.8461E+06        8.0000E+02               NAN               NAN               NAN               NAN        1.6000E-02        5.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN
        5.2278E+06        4.0000E+02               NAN               NAN               NAN               NAN        4.2000E-02        6.0000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        5.2571E+06        5.0000E+02               NAN               NAN               NAN               NAN        3.0000E-02        6.0000E-03               NAN               NAN               NAN               NAN               2.0               NAN
        5.4036E+06        8.0000E+02               NAN               NAN               NAN               NAN        2.4000E-02        6.0000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        5.5384E+06        8.0000E+02               NAN               NAN               NAN               NAN        2.0000E-02        4.0000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        5.5714E+06        1.1000E+03               NAN               NAN               NAN               NAN        9.2000E-03        4.9000E-03               NAN               NAN               NAN               NAN               2.0               NAN
        5.8515E+06        4.0000E+02               NAN               NAN               NAN               NAN        2.6000E-02        1.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.0784E+06        1.5000E+03               NAN               NAN               NAN               NAN        4.8000E-02        1.3000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        6.2182E+06        6.0000E+02               NAN               NAN               NAN               NAN        8.2000E-02        1.1000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        6.2512E+06        6.0000E+02               NAN               NAN               NAN               NAN        1.6600E-01        1.9000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        6.3650E+06        6.0000E+02               NAN               NAN               NAN               NAN        7.6000E-02        1.7000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        6.4337E+06        6.0000E+02               NAN               NAN               NAN               NAN        1.3400E-01        3.5000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        6.9254E+06        3.0000E+02               NAN               NAN               NAN               NAN        7.5000E-01        3.1000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        6.9774E+06        5.0000E+02               NAN               NAN               NAN               NAN        1.5300E-01        2.5000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.0664E+06        9.0000E+02               NAN               NAN               NAN               NAN        2.6800E-01        2.8000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.1346E+06        7.0000E+02               NAN               NAN               NAN               NAN        1.3000E-01        3.1000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.1660E+06        7.0000E+02               NAN               NAN               NAN               NAN        1.7500E-01        2.2000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.2111E+06        3.0000E+02               NAN               NAN               NAN               NAN        6.1400E-01        3.8000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.2494E+06        5.0000E+02               NAN               NAN               NAN               NAN        2.1900E-01        3.4000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.2822E+06        7.0000E+02               NAN               NAN               NAN               NAN        2.6600E-01        4.1000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.3925E+06        4.0000E+02               NAN               NAN               NAN               NAN        1.6100E-01        2.7000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.4462E+06        6.0000E+02               NAN               NAN               NAN               NAN        1.8900E-01        3.0000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.4646E+06        5.0000E+02               NAN               NAN               NAN               NAN        2.6000E-01        5.5000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.6898E+06        6.0000E+02               NAN               NAN               NAN               NAN        1.2800E-01        3.2000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.7636E+06        6.0000E+02               NAN               NAN               NAN               NAN        1.7000E-01        6.9000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.8876E+06        7.0000E+02               NAN               NAN               NAN               NAN        3.9600E-01        9.2000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        7.9179E+06        4.0000E+02               NAN               NAN               NAN               NAN        3.8000E-01        3.9000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        8.0119E+06        6.0000E+02               NAN               NAN               NAN               NAN        5.4700E-01        4.8000E-02               NAN               NAN               NAN               NAN               1.0               NAN
        8.1196E+06        8.0000E+02               NAN               NAN               NAN               NAN        3.9100E-01        5.2000E-02               NAN               NAN               NAN               NAN               1.0               NAN
