# Header: 
#   Title                 : 72-HF-176 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : M.Scheck 
#   Institute             : (1USAUSA): United States of America 
#   Reference             : (J,PR/C,67,064313,2003) 
#   Year                  : 2003 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 72 
#   A                     : 176 
#   Nuclide               : 72-HF-176 
# Reaction: 
#   entry-subent-pointer  :['M0777-002-3'] 
#   EXFOR reaction        :['(72-HF-176(G,EL),,WID)'] 
#   incident energy       : 1.6430e+06 eV - 3.9160e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M07/M0777.x4 
#   nds                   : https://nds.iaea.org/EXFOR/M0777
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   1.6430E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   7.5000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   1.7210E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.5000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   1.9780E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.1000E-03   1.0000E-04          NAN          NAN          NAN          NAN
   2.0440E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   4.3000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   2.3610E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.1000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   2.4050E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   2.0000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   2.4840E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   8.0000E-04   2.0000E-04          NAN          NAN          NAN          NAN
   2.5140E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   9.2000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   2.5300E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   4.7000E-03   5.0000E-04          NAN          NAN          NAN          NAN
   2.5480E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   4.6000E-03   6.0000E-04          NAN          NAN          NAN          NAN
   2.6900E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.0800E-02   8.0000E-04          NAN          NAN          NAN          NAN
   2.7220E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.9200E-02   2.3000E-03          NAN          NAN          NAN          NAN
   2.8310E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   2.3000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   2.8850E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   9.7000E-03   8.0000E-04          NAN          NAN          NAN          NAN
