# Header: 
#   Title                 : 12-MG-24 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0632-006-3 
#   First Author          : J.W.Maas 
#   Institute             : (2NEDUTR): University of Utrecht 
#   Reference             : (J,NP/A,301,213,1978) 
#   Year                  : 1978 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 12 
#   A                     : 24 
#   Isomer                :  
#   Nuclide               : 12-MG-24 
# Reaction: 
#   EXFOR Reaction        : (12-MG-24(A,TOT),,WID) 
#   Incident Energy Type   : 1.5300e+06 eV - 3.7872e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F06/F0632.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0632
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   1.5300E+06   1.5000E+02        NAN        NAN   1.5300E+02   1.5000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7866E+06   2.0000E+02        NAN        NAN   1.7870E+02   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8665E+06   2.0000E+02        NAN        NAN   1.8670E+02   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9516E+06   3.0000E+02        NAN        NAN   1.9520E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9665E+06   1.9000E+02        NAN        NAN   1.9670E+02   1.9000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0936E+06   2.0000E+02        NAN        NAN   2.0940E+02   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2351E+06   2.0000E+02        NAN        NAN   2.2350E+02   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3231E+06   2.0000E+02        NAN        NAN   2.3230E+02   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3783E+06   2.0000E+02        NAN        NAN   2.3780E+02   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4351E+06   3.0000E+02        NAN        NAN   2.4350E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5642E+06   3.0000E+02        NAN        NAN   2.5640E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5784E+06   3.0000E+02        NAN        NAN   2.5780E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6329E+06   3.0000E+02        NAN        NAN   2.6330E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6901E+06   3.0000E+02        NAN        NAN   2.6900E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.7030E+06   3.0000E+02        NAN        NAN   2.7030E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8658E+06   3.0000E+02        NAN        NAN   2.8660E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9055E+06   3.0000E+02        NAN        NAN   2.9060E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9214E+06   4.0000E+02        NAN        NAN   2.9210E+02   4.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9944E+06   3.0000E+02        NAN        NAN   2.9940E+02   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1983E+06   3.0000E+02        NAN        NAN   7.6000E+02   1.7000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
