# Header: 
#   Title                 : 12-MG-24 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : T0268-003-4 
#   First Author          : J.A.Weinman 
#   Institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
#   Reference             : (J,PR,133,B590,1964) 
#   Year                  : 1964 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 12 
#   A                     : 24 
#   Isomer                :  
#   Nuclide               : 12-MG-24 
# Reaction: 
#   EXFOR Reaction        : (12-MG-24(A,TOT),,WID) 
#   Incident Energy Type   : 3.2130e+06 eV - 3.9610e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0268.x4 
#   nds                   : https://nds.iaea.org/EXFOR/T0268
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   3.2130E+06          NAN        2.0        NAN   8.0000E+02   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3070E+06          NAN        NAN        NAN   6.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3180E+06          NAN        1.0        NAN   2.8000E+03   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3630E+06          NAN        4.0        NAN   6.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4180E+06          NAN        2.0        NAN   1.3000E+03   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4470E+06          NAN        1.0        NAN   1.5000E+03   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5830E+06          NAN        0.0        NAN   2.4000E+03   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6600E+06          NAN        2.0        NAN   8.0000E+02   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8070E+06          NAN        0.0        NAN   2.3000E+03   6.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9610E+06          NAN        NAN        NAN   3.0000E+03   7.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
