# Header: 
#   Title                 : 12-MG-24 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0590-003-3 
#   First Author          : J.Cseh 
#   Institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
#   Reference             : (J,NP/A,385,43,1982) 
#   Year                  : 1982 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 12 
#   A                     : 24 
#   Isomer                :  
#   Nuclide               : 12-MG-24 
# Reaction: 
#   EXFOR Reaction        : (12-MG-24(A,EL),,WID) 
#   Incident Energy Type   : 3.1980e+06 eV - 4.7890e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F05/F0590.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0590
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   3.1980E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   6.0000E+02          NAN          NAN          NAN          NAN          NAN
   3.3040E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.5000E+03          NAN          NAN          NAN          NAN          NAN
   3.4000E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   1.3000E+03          NAN          NAN          NAN          NAN          NAN
   3.4860E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.7000E+03          NAN          NAN          NAN          NAN          NAN
   3.4900E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   5.2000E+03          NAN          NAN          NAN          NAN          NAN
   3.5650E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   3.2000E+03          NAN          NAN          NAN          NAN          NAN
   3.7910E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   3.0000E+03          NAN          NAN          NAN          NAN          NAN
   3.8080E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   1.1500E+04          NAN          NAN          NAN          NAN          NAN
   4.2630E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   4.5000E+03          NAN          NAN          NAN          NAN          NAN
   4.3090E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   1.9000E+03          NAN          NAN          NAN          NAN          NAN
   4.4710E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.1400E+04          NAN          NAN          NAN          NAN          NAN
   4.4930E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   9.0000E+02          NAN          NAN          NAN          NAN          NAN
   4.5410E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   1.9700E+04          NAN          NAN          NAN          NAN          NAN
   4.5650E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   5.4000E+03          NAN          NAN          NAN          NAN          NAN
   4.6220E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   6.2000E+03          NAN          NAN          NAN          NAN          NAN
   4.6560E+06          NAN        4.0        NAN          NAN          NAN          NAN          NAN   1.3000E+03          NAN          NAN          NAN          NAN          NAN
   4.6610E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   4.5000E+03          NAN          NAN          NAN          NAN          NAN
   4.6690E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   7.2000E+03          NAN          NAN          NAN          NAN          NAN
   4.7590E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   5.9000E+03          NAN          NAN          NAN          NAN          NAN
   4.7890E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   3.7000E+03          NAN          NAN          NAN          NAN          NAN
