# Header: 
#   Title                 : 20-CA-40 Resonance Parameter: WID/STR,,RG 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0265-003-2 
#   First Author          : F.Zijderhand 
#   Institute             : (2NEDUTR): University of Utrecht 
#   Reference             : (J,NP/A,466,280,1987) 
#   Year                  : 1987 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 20 
#   A                     : 40 
#   Isomer                :  
#   Nuclide               : 20-CA-40 
# Reaction: 
#   EXFOR Reaction        : (20-CA-40(P,G),,WID/STR,,RG) 
#   Incident Energy       : 1.7164e+06 eV - 4.0301e+06 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F02/F0265.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0265
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   1.7164E+06   8.0000E+01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0959E+06   5.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4147E+06   5.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5881E+06   7.0000E+01        NAN        NAN          NAN          NAN   2.0000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.6666E+06   7.0000E+01        NAN        NAN          NAN          NAN   1.8000E-02   2.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.7191E+06   9.0000E+01        NAN        NAN          NAN          NAN   4.0000E-03   1.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.9720E+06   2.0000E+02        NAN        NAN          NAN          NAN   6.2000E-02   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.1850E+06   2.0000E+02        NAN        NAN          NAN          NAN   2.0000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.4114E+06   4.0000E+02        NAN        NAN          NAN          NAN   1.2000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.5626E+06   3.0000E+02        NAN        NAN          NAN          NAN   2.3000E-02   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.6966E+06   3.0000E+02        NAN        NAN          NAN          NAN   3.0000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.7806E+06   2.0000E+02        NAN        NAN          NAN          NAN   1.1000E-01   1.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.0227E+06   4.0000E+02        NAN        NAN          NAN          NAN   7.7000E-02   1.1000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.0301E+06   6.0000E+02        NAN        NAN          NAN          NAN   9.1000E-02   1.4000E-02          NAN          NAN          NAN          NAN          NAN          NAN
