# Header: 
#   Title                 : 9-F-19 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : A0093-005-1 
#   First Author          : K.Spyrou 
#   Institute             : (2GRCATH): NCSR Demokritos, Aghia Paraskevi, Athens 
#   Reference             : (J,ZP/A,357,283,1997) 
#   Year                  : 1997 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 9 
#   A                     : 19 
#   Isomer                :  
#   Nuclide               : 9-F-19 
# Reaction: 
#   EXFOR Reaction        : (9-F-19(P,A),,WID) 
#   Incident Energy       : 8.3200e+05 eV - 1.6022e+06 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A00/A0093.x4 
#   nds                   : https://nds.iaea.org/EXFOR/A0093
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   8.3200E+05   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.0000E+03   1.0000E+03
   8.7211E+05   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.5300E+03   1.6000E+02
   8.9770E+05   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.0000E+03   1.0000E+03
   9.3400E+05   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   7.4000E+03   7.0000E+02
   1.0864E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.4000E+03          NAN
   1.1344E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.5000E+03   3.0000E+02
   1.2787E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.6200E+04   1.7000E+03
   1.3436E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.0000E+03   8.0000E+02
   1.3704E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.1900E+04   1.2000E+03
   1.6022E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.7000E+03   6.0000E+02
