# Header: 
#   Title                 : 26-FE-56 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : F.Bauwens 
#   Institute             : (2BLGGHT): Universiteit Gent, Gent 
#   Reference             : (J,PR/C,62,024302,2000) 
#   Year                  : 2000 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 26 
#   A                     : 56 
#   Nuclide               : 26-FE-56 
# Reaction: 
#   entry-subent-pointer  :['G0036-002-5'] 
#   EXFOR reaction        :['(26-FE-56(G,EL),,WID)'] 
#   incident energy       : 2.1331e+06 eV - 9.7682e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/G00/G0036.x4 
#   nds                   : https://nds.iaea.org/EXFOR/G0036
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   2.1331E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.6000E-02   1.0000E-03          NAN          NAN          NAN          NAN
   2.7427E+06   9.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.9000E-03   9.0000E-04          NAN          NAN          NAN          NAN
   2.7635E+06   4.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   9.4000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   2.9831E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   4.6000E-03   1.6000E-03          NAN          NAN          NAN          NAN
   3.3697E+06   5.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   4.7000E-02   6.0000E-03          NAN          NAN          NAN          NAN
   3.4486E+06   2.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   7.8000E-02   5.0000E-03          NAN          NAN          NAN          NAN
   3.6055E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.1000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   4.4097E+06   4.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   6.0000E-03   2.6000E-03          NAN          NAN          NAN          NAN
   4.6694E+06   5.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.2000E-02   5.0000E-03          NAN          NAN          NAN          NAN
   4.8461E+06   8.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.6000E-02   5.0000E-03          NAN          NAN          NAN          NAN
   5.2278E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   4.2000E-02   6.0000E-03          NAN          NAN          NAN          NAN
   5.2571E+06   5.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   3.0000E-02   6.0000E-03          NAN          NAN          NAN          NAN
   5.4036E+06   8.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   2.4000E-02   6.0000E-03          NAN          NAN          NAN          NAN
   5.5384E+06   8.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   2.0000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   5.5714E+06   1.1000E+03        2.0        NAN          NAN          NAN          NAN          NAN   9.2000E-03   4.9000E-03          NAN          NAN          NAN          NAN
   5.8515E+06   4.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.6000E-02   1.6000E-02          NAN          NAN          NAN          NAN
   6.0784E+06   1.5000E+03        1.0        NAN          NAN          NAN          NAN          NAN   4.8000E-02   1.3000E-02          NAN          NAN          NAN          NAN
   6.2182E+06   6.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   8.2000E-02   1.1000E-02          NAN          NAN          NAN          NAN
