# Header: 
#   Title                 : 7-N-14 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C0850-006-2 
#   First Author          : J.W.Olness 
#   Institute             : (1USADKE): Duke University, Durham, NC 
#   Reference             : (J,PR,112,475,1958) 
#   Year                  : 1958 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 7 
#   A                     : 14 
#   Isomer                :  
#   Nuclide               : 7-N-14 
# Reaction: 
#   EXFOR Reaction        : (7-N-14(P,TOT),,WID) 
#   Incident Energy       : 1.0610e+06 eV - 3.9800e+06 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C08/C0850.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C0850
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   1.0610E+06   5.0000E+03        NAN        NAN   6.0000E+03   1.5000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5500E+06   5.0000E+03        NAN        NAN   3.5000E+04   5.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7440E+06   3.0000E+03        NAN        NAN   6.0000E+03   1.5000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8040E+06   3.0000E+03        NAN        NAN   8.0000E+03   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3490E+06   3.0000E+03        NAN        NAN   8.5000E+03   1.5000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3800E+06   5.0000E+04        NAN        NAN   2.6000E+05   7.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4780E+06   4.0000E+03        NAN        NAN   1.1000E+04   2.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5350E+06   3.0000E+03        NAN        NAN   1.8000E+03   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1920E+06   3.0000E+03        NAN        NAN   1.1000E+04   1.5000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3950E+06          NAN        NAN        NAN   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4400E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8780E+06   8.0000E+03        NAN        NAN   8.5000E+04   5.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9800E+06   1.0000E+04        NAN        NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
