# Header: 
#   Title                 : 10-NE-22 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C1920-003-4 
#   First Author          : G.A.Keyworth 
#   Institute             : (1USADKE): Duke University, Durham, NC 
#   Reference             : (J,PR,176,1302,1968) 
#   Year                  : 1968 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 10 
#   A                     : 22 
#   Isomer                :  
#   Nuclide               : 10-NE-22 
# Reaction: 
#   EXFOR Reaction        : (10-NE-22(P,TOT),,WID) 
#   Incident Energy Type   : 8.5190e+05 eV - 3.1060e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C19/C1920.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C1920
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   8.5190E+05          NAN        1.5        NAN   5.0000E+00          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   9.0010E+05          NAN        0.5        NAN   1.0500E+02          NAN          NAN          NAN   1.0500E+02          NAN          NAN          NAN          NAN          NAN
   9.5000E+05          NAN        2.5        NAN   2.3500E+01          NAN          NAN          NAN   2.3500E+01          NAN          NAN          NAN          NAN          NAN
   1.0905E+06          NAN        1.5        NAN   4.7000E+01          NAN          NAN          NAN   4.7000E+01          NAN          NAN          NAN          NAN          NAN
   1.1063E+06          NAN        0.5        NAN   1.5000E+02          NAN          NAN          NAN   1.5000E+02          NAN          NAN          NAN          NAN          NAN
   1.2619E+06          NAN        0.5        NAN   4.7500E+02          NAN          NAN          NAN   4.7500E+02          NAN          NAN          NAN          NAN          NAN
   1.2782E+06          NAN        2.5        NAN   6.9000E+01          NAN          NAN          NAN   6.9000E+01          NAN          NAN          NAN          NAN          NAN
   1.3513E+06          NAN        0.5        NAN   1.2700E+03          NAN          NAN          NAN   1.2700E+03          NAN          NAN          NAN          NAN          NAN
   1.3809E+06          NAN        0.5        NAN   4.2000E+03          NAN          NAN          NAN   4.2000E+03          NAN          NAN          NAN          NAN          NAN
   1.4422E+06          NAN        2.5        NAN   6.5000E+01          NAN          NAN          NAN   6.5000E+01          NAN          NAN          NAN          NAN          NAN
   1.5080E+06          NAN        1.5        NAN   5.0000E+00          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.5178E+06          NAN        0.5        NAN   2.4500E+03          NAN          NAN          NAN   2.4500E+03          NAN          NAN          NAN          NAN          NAN
   1.5930E+06          NAN        1.5        NAN   2.0000E+03          NAN          NAN          NAN   2.0000E+03          NAN          NAN          NAN          NAN          NAN
   1.6125E+06          NAN        0.5        NAN   1.9000E+02          NAN          NAN          NAN   1.9000E+02          NAN          NAN          NAN          NAN          NAN
   1.6202E+06          NAN        1.5        NAN   1.1000E+01          NAN          NAN          NAN   1.1000E+01          NAN          NAN          NAN          NAN          NAN
   1.6279E+06          NAN        1.5        NAN   2.1000E+02          NAN          NAN          NAN   2.1000E+02          NAN          NAN          NAN          NAN          NAN
   1.7189E+06          NAN        2.5        NAN   2.5000E+01          NAN          NAN          NAN   2.5000E+01          NAN          NAN          NAN          NAN          NAN
   1.7595E+06          NAN        1.5        NAN   4.7000E+02          NAN          NAN          NAN   4.0000E+02          NAN          NAN          NAN          NAN          NAN
   1.7834E+06          NAN        1.5        NAN   9.2000E+02          NAN          NAN          NAN   8.8000E+02          NAN          NAN          NAN          NAN          NAN
   1.7898E+06          NAN        0.5        NAN   5.6000E+02          NAN          NAN          NAN   5.6000E+02          NAN          NAN          NAN          NAN          NAN
   1.8019E+06          NAN        2.5        NAN   1.0000E+02          NAN          NAN          NAN   1.0000E+02          NAN          NAN          NAN          NAN          NAN
   1.8325E+06          NAN        2.5        NAN   5.4000E+02          NAN          NAN          NAN   3.8000E+02          NAN          NAN          NAN          NAN          NAN
   1.8615E+06          NAN        1.5        NAN   1.1000E+03          NAN          NAN          NAN   1.0100E+03          NAN          NAN          NAN          NAN          NAN
   1.9051E+06          NAN        2.5        NAN   4.2500E+02          NAN          NAN          NAN   3.1750E+02          NAN          NAN          NAN          NAN          NAN
   1.9670E+06          NAN        1.5        NAN   2.3000E+04          NAN          NAN          NAN   2.2000E+04          NAN          NAN          NAN          NAN          NAN
   1.9984E+06          NAN        1.5        NAN   4.0000E+02          NAN          NAN          NAN   3.4000E+02          NAN          NAN          NAN          NAN          NAN
   2.0662E+06          NAN        1.5        NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1212E+06          NAN        1.5        NAN   1.7000E+03          NAN          NAN          NAN   1.0000E+03          NAN          NAN          NAN          NAN          NAN
