# Header: 
#   Title                 : 9-F-19 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : K.Spyrou 
#   Institute             : (2GRCATH): NCSR Demokritos, Aghia Paraskevi, Athens 
#   Reference             : (J,ZP/A,357,283,1997) 
#   Year                  : 1997 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 9 
#   A                     : 19 
#   Nuclide               : 9-F-19 
# Reaction: 
#   entry-subent-pointer  :{24: 'A0093-005-1', 25: 'A0093-005-1', 26: 'A0093-005-1', 27: 'A0093-005-1', 28: 'A0093-005-1', 29: 'A0093-005-1', 30: 'A0093-005-1', 31: 'A0093-005-1', 32: 'A0093-005-1', 33: 'A0093-005-1'} 
#   EXFOR reaction        :{24: '(9-F-19(P,A),,WID)', 25: '(9-F-19(P,A),,WID)', 26: '(9-F-19(P,A),,WID)', 27: '(9-F-19(P,A),,WID)', 28: '(9-F-19(P,A),,WID)', 29: '(9-F-19(P,A),,WID)', 30: '(9-F-19(P,A),,WID)', 31: '(9-F-19(P,A),,WID)', 32: '(9-F-19(P,A),,WID)', 33: '(9-F-19(P,A),,WID)'} 
#   incident energy       : 8.3200e-01 eV - 1.6022e+00 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A00/A0093.x4 
#   nds                   : https://nds.iaea.org/EXFOR/A0093
#
#        E_in(eV)          dE_in(eV)    data(P,TOT)(eV)       ddata(P,TOT)       data(P,G)         ddata(P,G)        data(P,EL)       ddata(P,EL)        data(P,F)        ddata(P,F)         data(P,A)        ddata(P,A)            spin_j        momentum_l
        8.3200E-01        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        5.0000E+03        1.0000E+03               NAN               NAN
        8.7211E-01        2.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        4.5300E+03        1.6000E+02               NAN               NAN
        8.9770E-01        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        5.0000E+03        1.0000E+03               NAN               NAN
        9.3400E-01        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        7.4000E+03        7.0000E+02               NAN               NAN
        1.0864E+00        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.4000E+03               NAN               NAN               NAN
        1.1344E+00        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        2.5000E+03        3.0000E+02               NAN               NAN
        1.2787E+00        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.6200E+04        1.7000E+03               NAN               NAN
        1.3436E+00        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        4.0000E+03        8.0000E+02               NAN               NAN
        1.3704E+00        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.1900E+04        1.2000E+03               NAN               NAN
        1.6022E+00        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN        2.7000E+03        6.0000E+02               NAN               NAN
