# Header: 
#   Title                 : 12-MG-24 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0659-003-4 
#   First Author          : P.J.M.Smulders 
#   Institute             : (2NEDUTR): University of Utrecht 
#   Reference             : (J,PHY,28,1093,1962) 
#   Year                  : 1962 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 12 
#   A                     : 24 
#   Isomer                :  
#   Nuclide               : 12-MG-24 
# Reaction: 
#   EXFOR Reaction        : (12-MG-24(A,G),,WID/STR) 
#   Incident Energy       : 1.5290e+06 eV - 3.2040e+06 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F06/F0659.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0659
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   1.5290E+06   5.0000E+03        1.0        NAN          NAN          NAN   1.1000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7850E+06   6.0000E+03        2.0        NAN          NAN          NAN   6.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8650E+06   6.0000E+03        3.0        NAN          NAN          NAN   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9500E+06   6.0000E+03        2.0        NAN          NAN          NAN   7.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9640E+06   6.0000E+03        1.0        NAN          NAN          NAN   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0930E+06   6.0000E+03        2.0        NAN          NAN          NAN   4.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2340E+06   7.0000E+03        NAN        NAN          NAN          NAN   2.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3230E+06   6.0000E+03        NAN        NAN          NAN          NAN   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3780E+06   6.0000E+03        NAN        NAN          NAN          NAN   3.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4350E+06   5.0000E+03        2.0        NAN          NAN          NAN   4.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5660E+06   5.0000E+03        1.0        NAN          NAN          NAN   7.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5800E+06   5.0000E+03        3.0        NAN          NAN          NAN   1.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6340E+06   5.0000E+03        4.0        NAN          NAN          NAN   3.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6920E+06   5.0000E+03        2.0        NAN          NAN          NAN   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.7040E+06   5.0000E+03        NAN        NAN          NAN          NAN   3.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8690E+06   5.0000E+03        2.0        NAN          NAN          NAN   1.2500E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9090E+06   5.0000E+03        4.0        NAN          NAN          NAN   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9260E+06   5.0000E+03        NAN        NAN          NAN          NAN   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9980E+06   5.0000E+03        4.0        NAN          NAN          NAN   6.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2040E+06   6.0000E+03        2.0        NAN          NAN          NAN   5.7000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
