# Header: 
#   Title                 : 12-MG-24 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : P.B.Lyons 
#   Institute             : (1USACAL): California Institute of Technology, Pasadena, CA 
#   Reference             : (J,NP/A,130,25,1969) 
#   Year                  : 1969 
#   Facility              : (ACCEL): Accelerator 
# Target: 
#   Z                     : 12 
#   A                     : 24 
#   Nuclide               : 12-MG-24 
# Reaction: 
#   entry-subent-pointer  :['C0927-002-0'] 
#   EXFOR reaction        :['(12-MG-24(A,G),,WID/STR)'] 
#   incident energy       : 1.3580e+00 eV - 2.7040e+00 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C09/C0927.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C0927
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(A,TOT)      (A,G)     d(A,G)      (A,EL)   d(A,EL)       (A,F)     d(A,F)
 1.3580E+00 7.0000E-03        NAN        NAN        NAN        NAN 1.9000E-03 6.0000E-04        NAN        NAN        NAN        NAN
 1.5330E+00        NAN        NAN        NAN        NAN        NAN 8.1000E-02 2.0000E-02        NAN        NAN        NAN        NAN
 1.7880E+00        NAN        NAN        NAN        NAN        NAN 5.8000E-02 1.4000E-02        NAN        NAN        NAN        NAN
 1.8680E+00        NAN        NAN        NAN        NAN        NAN 4.5000E-02 1.0000E-02        NAN        NAN        NAN        NAN
 1.9540E+00        NAN        NAN        NAN        NAN        NAN 1.1900E-01 2.6000E-02        NAN        NAN        NAN        NAN
 1.9680E+00        NAN        NAN        NAN        NAN        NAN 2.9000E-01 6.0000E-02        NAN        NAN        NAN        NAN
 2.0970E+00        NAN        NAN        NAN        NAN        NAN 3.7000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 2.2380E+00        NAN        NAN        NAN        NAN        NAN 5.3000E-02 1.1000E-02        NAN        NAN        NAN        NAN
 2.3250E+00        NAN        NAN        NAN        NAN        NAN 9.1000E-02 1.9000E-02        NAN        NAN        NAN        NAN
 2.3800E+00        NAN        NAN        NAN        NAN        NAN 7.4000E-02 1.9000E-02        NAN        NAN        NAN        NAN
 2.4370E+00        NAN        NAN        NAN        NAN        NAN 2.9000E-01 6.0000E-02        NAN        NAN        NAN        NAN
 2.5660E+00        NAN        NAN        NAN        NAN        NAN 6.7000E-02 1.5000E-02        NAN        NAN        NAN        NAN
 2.5800E+00        NAN        NAN        NAN        NAN        NAN 1.9000E-01 3.0000E-02        NAN        NAN        NAN        NAN
 2.6340E+00        NAN        NAN        NAN        NAN        NAN 5.0000E-01 1.0000E-01        NAN        NAN        NAN        NAN
 2.6920E+00        NAN        NAN        NAN        NAN        NAN 6.0000E-02 1.2000E-02        NAN        NAN        NAN        NAN
 2.7040E+00        NAN        NAN        NAN        NAN        NAN 2.8000E-02 8.0000E-03        NAN        NAN        NAN        NAN
