# Header: 
#   Title                 : 12-MG-24 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : E.Strandberg 
#   Institute             : (1USAUSA): United States of America 
#   Reference             : (J,PR/C,77,055801,2008) 
#   Year                  : 2008 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 12 
#   A                     : 24 
#   Nuclide               : 12-MG-24 
# Reaction: 
#   entry-subent-pointer  :['C1627-002-0'] 
#   EXFOR reaction        :['(12-MG-24(A,G),,WID/STR)'] 
#   incident energy       : 1.0870e+06 eV - 1.0884e+07 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C16/C1627.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C1627
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   1.0870E+06          NAN        NAN        NAN          NAN          NAN   1.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1250E+06          NAN        NAN        NAN          NAN          NAN   1.6000E-05          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1780E+06          NAN        NAN        NAN          NAN          NAN   2.2000E-04   6.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   1.2770E+06          NAN        NAN        NAN          NAN          NAN   5.8000E-04   1.1000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.3510E+06          NAN        NAN        NAN          NAN          NAN   1.9000E-03   3.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.4130E+06          NAN        NAN        NAN          NAN          NAN   2.1000E-04   4.0000E-06          NAN          NAN          NAN          NAN          NAN          NAN
   1.5300E+06          NAN        NAN        NAN          NAN          NAN   9.4000E-02   1.4000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.0514E+07          NAN        NAN        NAN          NAN          NAN   2.1800E-12          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0806E+07          NAN        NAN        NAN          NAN          NAN   3.5500E-07          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0884E+07          NAN        NAN        NAN          NAN          NAN   2.9500E-06          NAN          NAN          NAN          NAN          NAN          NAN          NAN
