# Header: 
#   Title                 : 6-C-14 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : V.Z.Goldberg 
#   Institute             : (2SF SF): Finland 
#   Reference             : (J,YF,68,1123,2005) 
#   Year                  : 2005 
#   Facility              : (ISOCY): Isochronous cyclotron 
# Target: 
#   Z                     : 6 
#   A                     : 14 
#   Nuclide               : 6-C-14 
# Reaction: 
#   entry-subent-pointer  :{0: 'F0754-003-1', 1: 'F0754-003-1', 2: 'F0754-003-1', 3: 'F0754-003-1', 4: 'F0754-003-1', 5: 'F0754-003-1', 6: 'F0754-003-1', 7: 'F0754-003-1', 8: 'F0754-003-1', 9: 'F0754-003-1', 10: 'F0754-003-1', 11: 'F0754-003-1', 12: 'F0754-003-1', 13: 'F0754-003-1', 14: 'F0754-003-1', 15: 'F0754-003-1', 16: 'F0754-003-1', 17: 'F0754-003-1', 18: 'F0754-003-1', 19: 'F0754-003-1', 20: 'F0754-003-1', 21: 'F0754-003-1', 22: 'F0754-003-1', 23: 'F0754-003-1', 24: 'F0754-003-1', 25: 'F0754-003-1', 26: 'F0754-003-1', 27: 'F0754-003-1', 28: 'F0754-003-1', 29: 'F0754-003-1', 30: 'F0754-003-1', 31: 'F0754-003-1', 32: 'F0754-003-1', 33: 'F0754-003-1'} 
#   EXFOR reaction        :{0: '(6-C-14(A,EL),,WID)', 1: '(6-C-14(A,EL),,WID)', 2: '(6-C-14(A,EL),,WID)', 3: '(6-C-14(A,EL),,WID)', 4: '(6-C-14(A,EL),,WID)', 5: '(6-C-14(A,EL),,WID)', 6: '(6-C-14(A,EL),,WID)', 7: '(6-C-14(A,EL),,WID)', 8: '(6-C-14(A,EL),,WID)', 9: '(6-C-14(A,EL),,WID)', 10: '(6-C-14(A,EL),,WID)', 11: '(6-C-14(A,EL),,WID)', 12: '(6-C-14(A,EL),,WID)', 13: '(6-C-14(A,EL),,WID)', 14: '(6-C-14(A,EL),,WID)', 15: '(6-C-14(A,EL),,WID)', 16: '(6-C-14(A,EL),,WID)', 17: '(6-C-14(A,EL),,WID)', 18: '(6-C-14(A,EL),,WID)', 19: '(6-C-14(A,EL),,WID)', 20: '(6-C-14(A,EL),,WID)', 21: '(6-C-14(A,EL),,WID)', 22: '(6-C-14(A,EL),,WID)', 23: '(6-C-14(A,EL),,WID)', 24: '(6-C-14(A,EL),,WID)', 25: '(6-C-14(A,EL),,WID)', 26: '(6-C-14(A,EL),,WID)', 27: '(6-C-14(A,EL),,WID)', 28: '(6-C-14(A,EL),,WID)', 29: '(6-C-14(A,EL),,WID)', 30: '(6-C-14(A,EL),,WID)', 31: '(6-C-14(A,EL),,WID)', 32: '(6-C-14(A,EL),,WID)', 33: '(6-C-14(A,EL),,WID)'} 
#   incident energy       : 3.6000e+00 eV - 1.9300e+01 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F07/F0754.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0754
#
#        E_in(eV)          dE_in(eV)    data(A,TOT)(eV)       ddata(A,TOT)       data(A,G)         ddata(A,G)        data(A,EL)       ddata(A,EL)        data(A,F)        ddata(A,F)         data(A,A)        ddata(A,A)            spin_j        momentum_l
        3.6000E+00               NAN               NAN               NAN               NAN               NAN        5.0000E+05        1.0000E+05               NAN               NAN               NAN               NAN               1.0               NAN
        3.7100E+00               NAN               NAN               NAN               NAN               NAN        3.8000E+05        1.5000E+04               NAN               NAN               NAN               NAN               2.0               NAN
        4.0700E+00               NAN               NAN               NAN               NAN               NAN        2.0000E+05        2.0000E+04               NAN               NAN               NAN               NAN               3.0               NAN
        4.4700E+00               NAN               NAN               NAN               NAN               NAN        1.8000E+05        3.0000E+04               NAN               NAN               NAN               NAN               1.0               NAN
        4.4800E+00               NAN               NAN               NAN               NAN               NAN        7.5000E+04        1.0000E+04               NAN               NAN               NAN               NAN               3.0               NAN
        4.5600E+00               NAN               NAN               NAN               NAN               NAN        3.0000E+05        3.0000E+04               NAN               NAN               NAN               NAN               3.0               NAN
        4.6500E+00               NAN               NAN               NAN               NAN               NAN        4.0000E+05        5.0000E+04               NAN               NAN               NAN               NAN               0.0               NAN
        4.7800E+00               NAN               NAN               NAN               NAN               NAN        3.0000E+05               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        4.9800E+00               NAN               NAN               NAN               NAN               NAN        4.5000E+04        8.0000E+03               NAN               NAN               NAN               NAN               3.0               NAN
        5.2200E+00               NAN               NAN               NAN               NAN               NAN        3.0000E+04        7.0000E+03               NAN               NAN               NAN               NAN               4.0               NAN
        5.3200E+00               NAN               NAN               NAN               NAN               NAN        4.5000E+04        8.0000E+03               NAN               NAN               NAN               NAN               3.0               NAN
        5.4000E+00               NAN               NAN               NAN               NAN               NAN        5.0000E+05        1.5000E+05               NAN               NAN               NAN               NAN               2.0               NAN
        5.4500E+00               NAN               NAN               NAN               NAN               NAN        8.0000E+05        2.0000E+05               NAN               NAN               NAN               NAN               1.0               NAN
        5.8400E+00               NAN               NAN               NAN               NAN               NAN        1.8000E+05        4.0000E+04               NAN               NAN               NAN               NAN               3.0               NAN
        5.9400E+00               NAN               NAN               NAN               NAN               NAN        2.5000E+05               NAN               NAN               NAN               NAN               NAN               0.0               NAN
        6.3000E+00               NAN               NAN               NAN               NAN               NAN        6.0000E+05               NAN               NAN               NAN               NAN               NAN               3.0               NAN
        6.6700E+00               NAN               NAN               NAN               NAN               NAN        4.5000E+04               NAN               NAN               NAN               NAN               NAN               4.0               NAN
        6.9200E+00               NAN               NAN               NAN               NAN               NAN        6.0000E+04        5.0000E+03               NAN               NAN               NAN               NAN               5.0               NAN
        7.0300E+00               NAN               NAN               NAN               NAN               NAN        3.5000E+04        5.0000E+03               NAN               NAN               NAN               NAN               6.0               NAN
        7.8300E+00               NAN               NAN               NAN               NAN               NAN        8.0000E+04        1.0000E+04               NAN               NAN               NAN               NAN               5.0               NAN
        8.1000E+00               NAN               NAN               NAN               NAN               NAN        3.2000E+04        5.0000E+03               NAN               NAN               NAN               NAN               6.0               NAN
        1.5700E+01               NAN               NAN               NAN               NAN               NAN        6.0000E+04               NAN               NAN               NAN               NAN               NAN               7.0               NAN
        1.6050E+01               NAN               NAN               NAN               NAN               NAN        3.2000E+05               NAN               NAN               NAN               NAN               NAN               7.0               NAN
        1.6660E+01               NAN               NAN               NAN               NAN               NAN        1.4500E+05               NAN               NAN               NAN               NAN               NAN               7.0               NAN
