# Header: 
#   Title                 : 8-O-17 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : A.K.Nurmukhanbetova 
#   Institute             : (4KASNZR): Nazarbayev University , Nur-Sultan 
#   Reference             : (J,PR/C,100,062802,2019) 
#   Year                  : 2019 
#   Facility              : (CYCLO): Cyclotron 
# Target: 
#   Z                     : 8 
#   A                     : 17 
#   Nuclide               : 8-O-17 
# Reaction: 
#   entry-subent-pointer  :['D8009-008-1' 'D8009-008-2'] 
#   EXFOR reaction        :['(8-O-17(A,EL),,WID)' '(8-O-17(A,TOT),,WID)'] 
#   incident energy       : 1.7500e+06 eV - 5.2900e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D80/D8009.x4 
#   nds                   : https://nds.iaea.org/EXFOR/D8009
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   1.7500E+06          NAN        2.5        0.0   8.3400E+04          NAN          NAN          NAN   8.4000E+03          NAN          NAN          NAN          NAN          NAN
   2.0100E+06          NAN        2.5        0.0   6.4000E+03          NAN          NAN          NAN   9.0000E+02          NAN          NAN          NAN          NAN          NAN
   2.0500E+06          NAN        1.5        1.0   4.7000E+03          NAN          NAN          NAN   2.2000E+03          NAN          NAN          NAN          NAN          NAN
   2.1500E+06          NAN        1.5        2.0   1.0200E+04          NAN          NAN          NAN   6.6000E+03          NAN          NAN          NAN          NAN          NAN
   2.3600E+06          NAN        3.5        2.0   2.0500E+04          NAN          NAN          NAN   8.5000E+03          NAN          NAN          NAN          NAN          NAN
   2.4900E+06          NAN        4.5        2.0   3.2900E+04          NAN          NAN          NAN   2.4400E+04          NAN          NAN          NAN          NAN          NAN
   2.5400E+06          NAN        2.5        0.0   8.7800E+04          NAN          NAN          NAN   2.2700E+04          NAN          NAN          NAN          NAN          NAN
   2.5600E+06          NAN        3.5        3.0   2.3500E+03          NAN          NAN          NAN   1.9500E+03          NAN          NAN          NAN          NAN          NAN
   2.7200E+06          NAN        1.5        1.0   7.6400E+04          NAN          NAN          NAN   1.1300E+04          NAN          NAN          NAN          NAN          NAN
   3.0000E+06          NAN        4.5        2.0   3.1200E+04          NAN          NAN          NAN   1.6800E+04          NAN          NAN          NAN          NAN          NAN
   3.0760E+06          NAN        3.5        1.0   2.5100E+04          NAN          NAN          NAN   1.5900E+04          NAN          NAN          NAN          NAN          NAN
   3.2400E+06          NAN        3.5        2.0   3.1300E+04          NAN          NAN          NAN   1.8000E+04          NAN          NAN          NAN          NAN          NAN
   3.3700E+06          NAN        3.5        1.0   6.0300E+04          NAN          NAN          NAN   1.9600E+04          NAN          NAN          NAN          NAN          NAN
   3.6000E+06          NAN        2.5        2.0   1.9220E+05          NAN          NAN          NAN   1.9100E+05          NAN          NAN          NAN          NAN          NAN
   3.6200E+06          NAN        2.5        1.0   2.5000E+04          NAN          NAN          NAN   1.0260E+04          NAN          NAN          NAN          NAN          NAN
   3.6900E+06          NAN        3.5        1.0   2.2100E+04          NAN          NAN          NAN   1.2400E+04          NAN          NAN          NAN          NAN          NAN
   3.7000E+06          NAN        2.5        0.0   1.1030E+06          NAN          NAN          NAN   9.3200E+05          NAN          NAN          NAN          NAN          NAN
   3.7700E+06          NAN        5.5        4.0   3.3000E+03          NAN          NAN          NAN   3.2000E+03          NAN          NAN          NAN          NAN          NAN
   3.9100E+06          NAN        2.5        0.0   2.8500E+05          NAN          NAN          NAN   2.0400E+05          NAN          NAN          NAN          NAN          NAN
   4.0200E+06          NAN        6.5        4.0   7.1000E+03          NAN          NAN          NAN   6.6000E+03          NAN          NAN          NAN          NAN          NAN
   4.1700E+06          NAN        4.5        2.0          NAN          NAN          NAN          NAN   3.1290E+05          NAN          NAN          NAN          NAN          NAN
   4.5200E+06          NAN        3.5        1.0          NAN          NAN          NAN          NAN   4.8300E+04          NAN          NAN          NAN          NAN          NAN
   4.5600E+06          NAN        3.5        2.0          NAN          NAN          NAN          NAN   1.3130E+05          NAN          NAN          NAN          NAN          NAN
   4.7100E+06          NAN        2.5        1.0          NAN          NAN          NAN          NAN   8.3400E+04          NAN          NAN          NAN          NAN          NAN
   4.8700E+06          NAN        2.5        0.0          NAN          NAN          NAN          NAN   7.2970E+04          NAN          NAN          NAN          NAN          NAN
   5.0100E+06          NAN        3.5        4.0          NAN          NAN          NAN          NAN   7.3840E+04          NAN          NAN          NAN          NAN          NAN
   5.0300E+06          NAN        6.5        4.0          NAN          NAN          NAN          NAN   1.1158E+05          NAN          NAN          NAN          NAN          NAN
   5.0500E+06          NAN        3.5        3.0          NAN          NAN          NAN          NAN   2.8400E+04          NAN          NAN          NAN          NAN          NAN
   5.1100E+06          NAN        1.5        1.0          NAN          NAN          NAN          NAN   1.8570E+04          NAN          NAN          NAN          NAN          NAN
   5.2000E+06          NAN        3.5        1.0          NAN          NAN          NAN          NAN   4.7160E+04          NAN          NAN          NAN          NAN          NAN
   5.2300E+06          NAN        5.5        5.0          NAN          NAN          NAN          NAN   1.9630E+04          NAN          NAN          NAN          NAN          NAN
   5.2400E+06          NAN        5.5        5.0          NAN          NAN          NAN          NAN   6.3700E+03          NAN          NAN          NAN          NAN          NAN
   5.2600E+06          NAN        7.5        6.0          NAN          NAN          NAN          NAN   3.1080E+04          NAN          NAN          NAN          NAN          NAN
   5.2900E+06          NAN        5.5        4.0          NAN          NAN          NAN          NAN   1.9740E+05          NAN          NAN          NAN          NAN          NAN
